content_cleaned,score,thumbsUpCount,content_length,word_count,has_reply,sentiment,sentiment_encoded
aplikasi sialan tiba tiba password dianggap salah padahal belum pernah diganti update aplikasinya aja tiap waktu tapi bug gk pernah difix dan malah nambah kalo ngurus aplikasi yang bener babi cape gw kalo gini mulu sat,1,0,218,36,1,Negatif,0
best bca mobile,5,0,15,3,1,Positif,2
mantap,5,0,6,1,1,Positif,2
saya tidak bisa membuka apk nya padahal jaringan lancar sumpah kesel banget mau cek saldo doang padahal tolong baca yaa ini urgent banget mau tf juga soalnya,1,0,157,27,1,Negatif,0
udah regis tapi mau login gagal mulu aneh,1,0,41,8,1,Negatif,0
gamau pake lagi rekening bca tiba tiba ke log out dan ter blokir padahal ga pernah log out atau hapus aplikasi mau pindah bank aja kalo gini,1,0,140,27,1,Negatif,0
ada uang kluar smpe gk tau walaupun k hrusnya ada pemberitahuan tau berkurang klo bgtu trus lama saldony abis ngk tau kmn buat ap admin atau ap prsaan dlu bca admin berkurang ngk stiap saat,4,0,189,35,1,Negatif,0
dear mybca tolong ganti otp pakai otp whatsapp atau internet lain tak perlu memakai pulsa,4,0,89,15,1,Netral,1
app nya eror keluar sendiri tidak bisa masuk lagi,1,0,49,9,1,Negatif,0
klo boleh tambahin fitur jam di setiap mutasi org transfer jdi mempermudah pekerjaan saya,4,0,89,14,1,Netral,1
sering kali eror ga bisa dibuka kecewa banget dgn my bca udah beberapa hari ga bisa dibuka,1,0,90,17,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
baguss,5,0,6,1,1,Positif,2
bagus dan mempermudah,5,0,21,3,1,Positif,2
sangat terbantukan,5,0,18,2,1,Positif,2
poto selfi nya gak jalan tolong di perbaiki aplikasi nya,2,0,56,10,1,Negatif,0
saya menggunakan tablet dengan android versi aplikasi mybca force close saat verifikasi wajah untuk masuk ke beranda aplikasi harap pihak developer segera memperbaiki masalah ini dengan cepat untuk mengatasi bug yang terjadi demi kelancaran kenyamanan pengguna terima kasih,3,0,273,38,1,Negatif,0
kode otpnya telat terus bikin pulsa terbuang sia sia,2,0,52,9,1,Negatif,0
ribet tidak ada fitur tarik tunai nya klw mau tarik tunai harus pakai kartu tidak bisa langsung dari apk nya,1,0,108,20,1,Negatif,0
knpa kalo video call suara cs nya gada yak,4,0,42,9,1,Negatif,0
eror pas masukin no telp kantor pke kode area telepon pegimana urusan nya inih,1,0,78,14,1,Negatif,0
baik,5,0,4,1,1,Positif,2
sangat penting dan membantu,5,0,27,4,1,Positif,2
minta kode otp make pulsa padahal ada pulsa dibilang ga ada kan aneh ini aplikasi bintang dulu kalo udah di fix baru kasih bintang,1,2,130,24,1,Negatif,0
ini lagi gangguan apa gimana ya kok app ga bisa di buka payah seharian ga bisa jalanin transaksi,3,0,96,18,1,Negatif,0
saat buka akun masukin kode negara indonesia ngk ada,1,0,52,9,1,Netral,1
akun tiba id keblokir padahal secara id ama pasword tidak ada yg salah kecewa sih,2,0,81,15,1,Negatif,0
saldo mengurang sendiri anehh udh kga bnr my bca,1,0,48,9,1,Negatif,0
bukannya makin bagus malah makin parah,1,0,38,6,1,Negatif,0
tololll kode otp kenalan tidak bisa diterima,1,0,44,7,1,Negatif,0
biaya adm k sama k kok dobel semakin ngk jelas potongan biaya adm nya,1,0,69,14,1,Negatif,0
setelah pembaruan terakhir jadi cantik cakep lancar jaya tapi sayang belum ada tema gelapnya juga sampe sekarang,5,0,112,17,1,Positif,2
aplikasinya sangat mudah untuk melakukan investasi jadilah investor yang pertama di my bca sekuritas,5,0,100,14,1,Positif,2
sejauh saya menggunakan aplikasi ini tidak ada kendala yang sulit untuk dihadapi oleh saya tetapi terlalu sering meminta update padahal tampilan pun sama saja,5,0,158,24,1,Positif,2
semenjak pemeliharaan dini hari tadi apk nya jadi lemot ga bisa transaksi hadeuhh,5,0,81,13,1,Negatif,0
kok parah ya dikit dikit reconnect,2,0,34,6,1,Negatif,0
dipersulit banget buat log in kembali ke device baru sehingga aku tidak bisa transaksi hanya fto saja di persulit,2,0,113,19,1,Negatif,0
udah seminggu ga bisa transaksi apa apa sama sekali kenapa ya,2,0,61,11,1,Negatif,0
mantap,5,0,6,1,1,Positif,2
tolong untuk pembayaran online pdam diperluas terutama kota dan kabupaten,5,0,73,10,1,Netral,1
udah di tlpn di tnya lama tapi gk di bukain blokiran my bca saya,2,0,64,14,1,Netral,1
biaya admin k setiap bulannya,1,0,29,5,1,Negatif,0
cs tidak berguna selalu alesan by sistem,1,0,40,7,1,Negatif,0
saya mau tarik tunai pakai cardless tapi setelah aku konfir uang nya ga keluar tapi saldo berkurang bner ribet bngt ngurusin nya emang gajelas,1,0,142,24,1,Negatif,0
pertama pemakaian bagus tpi kenapa akhir akhir ini sering gangguan,2,0,66,10,1,Positif,2
mantap,5,0,6,1,1,Positif,2
kebanyakan update jadi gk bermutu sering eror kalau waktu dibutuhkan buat transaksi,1,0,83,12,1,Negatif,0
jelek bgt bca tiba gk bs dibuka jaringn bgus jg sma aja bkin transaksi gk lncar,2,0,79,16,1,Negatif,0
baik,5,0,4,1,1,Positif,2
terlalu lama perbaikan jdi mls pakek bca gk,3,0,43,8,1,Negatif,0
bca ga ngotak maintance lo nyusahin customer lo blok ini udh jam masih blm juga,1,0,79,15,1,Negatif,0
ga konsisten waktu pemeliharaannya jam uda di tungguin sampe sekarang belom selesai selesai,2,0,91,13,1,Negatif,0
kebanyakan update kebanyakan pemeliharaan sistem tengah malem ampe jam lebih ga bisa login,1,0,90,13,1,Negatif,0
mantenan gak kelar,4,0,18,3,1,Negatif,0
ini knp sih jadwal maintenance jam tapi ini udh ham lebih blom juga bisa klo urgent jd bingung kawatir,1,0,102,19,1,Negatif,0
maintenance mengganggu,1,0,22,2,1,Negatif,0
kebanyakan pemeliharaan,2,0,23,2,1,Negatif,0
saya kasih bintang dlu soalnya perbaikan sistem nya terlalu lama,2,0,64,10,1,Negatif,0
asik,3,0,4,1,1,Positif,2
maintanance nya tai betul,1,0,25,4,1,Positif,2
maintenance ga sesuai waktunya padahal lg urgend,1,0,48,7,1,Negatif,0
maintenancenya lebih lama dari waktu yang diestimasikan sementara ada keperluan mendesaak jadinya pusiingg,3,0,106,13,1,Negatif,0
kecewa di saat waktu genting urgent butuh uang malah pemeliharaan sistem gak selesai dari jam s d nyatanya lebih lama waktunya,1,0,126,21,1,Negatif,0
udh gak mau simpan d bca lagi karna gangguan baru liat kali ini bca gangguan,2,0,76,15,1,Negatif,0
sangat terbaik banget,5,0,21,3,1,Positif,2
nyusahin aja pake pemeliharaan sistem udh gtu lama bngt sangat mengganggu,1,0,73,11,1,Negatif,0
maintain pas malem minggu boss pusing,1,0,37,6,1,Negatif,0
kenapa ngak bisa di bukak mybca ngak bisa transaksi,1,0,51,9,1,Netral,1
tolong lah kalau tansfer malam jangan ada gangguan mana lagi pengen transfer motor cod al hasil gagal beli motor,1,0,112,19,1,Negatif,0
maintenancenya lama bgt,1,0,23,3,1,Negatif,0
bangsaaat gara lagi maintenant transaksi gue jadi batal banhsaaat jadi rugi gue taiiii,1,0,86,13,1,Negatif,0
terlalu banyak maintenance hampir setiap bulan kalau tidak fix dengan versinya coba di pikir pikir lagi deh agar tidak seperti ini terus,1,0,136,22,1,Negatif,0
faklah pokoknya lagi mau ngambil duit karena dompet hilang malah gangguan sampek jam bisa gak si cari jam diluar jam weekend,1,0,124,21,1,Negatif,0
maintenance tiba tiba jadi gabisa ngapa ngapa busuk nih aplikasi,1,0,64,10,1,Negatif,0
terlalu sering maintenance tanpa pemberitahuan sehingga merepotkan bayang kan jika uang anda hanya di bank ini dan ada kebutuhan yg sangat mendesak seperti yg saya alami,1,0,169,26,1,Negatif,0
kenapa bca ni skrang sering kali update emg fitur baru nya apasi,2,0,64,12,1,Negatif,0
paan si orang mo ngmbil duit pembaruan muluk kek mna ini gua baliknyaaaaa,2,0,73,13,1,Negatif,0
gimana min masa maintenance ni lama sekali aduh mau buat bayar makan ni gimana,1,0,78,14,1,Negatif,0
makin lama makin jelek ni mybca maintenance mulu gajelas,1,0,56,9,1,Negatif,0
kalau mau ada pemeliharaan diusahakan dikasih pemberitahuan hari sebelumnya jangan dadakan kayak tahu bulet kalau lagi urgent yg ada nyusahin orang,1,0,147,21,1,Negatif,0
lagi penting penting nya gangguan taii,1,0,38,6,1,Negatif,0
simpel ga ribet transaksi transfer cepat ga sampai menit dah kekirim,5,0,68,11,1,Positif,2
saya sudah daftar tapi setelah masuk di persulit di suru ulang daftar seperti awal tolong di bantu,1,0,98,17,1,Netral,1
sangat baik saya sangat puas,5,0,28,5,1,Positif,2
aplikasi nya ga banget kenapa sekarang bca kaya gini perasaan dulu ga kaya begini dan lebih saya heran lagi masa tiba akun saya ke blokir ya mau ga mau harus beli pulsa dong buat masukin kode otp nya dan saya sudah x beli pulsa cuma buat terima kode otp doang jangan sampai penilaian buruk datang terus menerus pada aplikasi mybca terus perbaiki yang sering terjadi error,1,0,371,66,1,Negatif,0
tolong dong ini kenapa ya saya mau log pas lewat di fitur muka pdhl udah hijau tapi malah tiba tiba keluar dri apk,3,0,114,23,1,Negatif,0
setelah up date pembayaran aris susah,3,0,37,6,1,Negatif,0
alhamdulillah skrng sngt stabil cepat dan akurat kemarin aplikasi ini tdk nyaman dipakai ny terutama qrisny,5,0,107,16,1,Positif,2
makin diup makin jelek banget nih layanan dikit dikit keblokir dikit dikit keblokir ribet tau ngurus pembukaan nya,1,0,114,18,1,Negatif,0
sangat simple ga ribet,5,0,22,4,1,Positif,2
dari rb pulsa hingga abis kode otp ga masuk trs dapat cooldown ga bisa login fix your it,1,0,88,18,1,Negatif,0
apk tai,1,0,7,2,1,Negatif,0
coba dong knapa ga bisa login di hp lain coba di perbaiki dong padhal bca id ama pw nya bener,3,0,93,20,1,Netral,1
alhamdulillah lancar,5,0,20,2,1,Positif,2
anjing woooy error seharian penuh luar biasa kalau ngerugiin nasabah gini bisa kena tuntut ga seh,1,0,97,16,1,Negatif,0
adanya aplikasi ini sangat membantu sekali transaksi lbih mudah cepat,5,0,69,10,1,Positif,2
setiap mw verifikasi wajah selalu keluar sendiri,1,0,48,7,1,Netral,1
bwt transfer pending trs dananya di refund tp harus nunggu hari kerja dahlah kesel bgt sm ni app,1,0,96,18,1,Negatif,0
halo kenapa mybca saya error tidak bisa login padahal jaringan internet ada dan bisa login di semua aplikasi lain,5,0,113,19,1,Netral,1
sangat memuaskan,5,0,16,2,1,Positif,2
saya kasih bintang semua nya di persulit mau bukak buku tabungan baru saja di persulit offline tidak bisa apa lagi online,1,0,121,21,1,Negatif,0
kenapa pas verifikasi wajah aplikasi sering keluar sendiri force close pada samsung tab a,5,0,89,14,1,Netral,1
aplikasi gajelas sebelumnya gapernah se emosi ini ngadepin fitur fitur apk lain ribet sendiri dikit dikit hrs ngurus ke cabang verif susah hbis pulsa banyak cs juga ga membantu selain saran ke cabang gunanya aplikasi apa kalau gitu mempersulit aja,1,2,247,40,1,Negatif,0
srring banget transaction virtual account nya bermasalah,3,0,56,7,1,Negatif,0
in this economy masih aja ada bayaran perbulan menurut gue ga worth it ya mohon maaf mau berhenti aja menggunakan bca,3,0,117,21,1,Negatif,0
tolong customer service online my bca nya di didik samgat judes saat melayani customer cenderung kasar,1,0,102,16,1,Negatif,0
lumayan membantu,5,0,16,2,1,Positif,2
ini sudah sangat bagus mudah tapi tolong update ny sekalian ini minggu sekali update perasaan gpp update tapi update ny buat sekalian jangan naggung naggung,5,0,156,25,1,Negatif,0
good,5,0,4,1,1,Positif,2
saya mau buka rekening tapi tidak bisa tertulis ooppss something went wrong please try again gak jelas padahal jaringan saya sangat lancar,1,0,138,22,1,Negatif,0
good,5,0,4,1,1,Positif,2
ajg ajg pertama apk gabisa dibuka terus gw install ulang suruh daftar malah keblokir jelek amat ajg,1,0,99,17,1,Negatif,0
dengan mybca semuanya mudah dan cepat,5,0,37,6,1,Positif,2
apk ter ajg yg pernah gw pake untuk pake peluang bisnis dimana gopay merchant dan bca tidak bisa di gabungkan malah kepotong admin bgst bgst,1,0,140,25,1,Negatif,0
luar biasa,5,0,10,2,1,Positif,2
mau login perangkat baru aja susah minta ampun udh ikutin mangap malah gagal mulu ujungnya suruh video call cs mana di jam malam ga bsa alhasil gw harus ke banknya kecewa bgt sekelas bca sulit mempersulit nasabah gw udh nabung banyak,1,0,233,41,1,Negatif,0
bca semakin tidak kooperatif dalam menangani kasus,1,0,50,7,1,Negatif,0
bagus,5,0,5,1,1,Positif,2
punya saya malah gk keluar kode negara indonesianya gimana ini mau login gak bisa dong,1,0,86,15,1,Negatif,0
mntap,5,0,5,1,1,Negatif,0
buang pulsa bikin id bca gagal terus,1,0,36,7,1,Negatif,0
log in suruh masukin no handphone tapi kode negara indonesia ga ada yang lain apa ada yang mengalami hal yang sama,1,0,114,21,1,Negatif,0
saat ingin melakukan verifikasi lewat videocall namun terkendala dengan tulisan oops terjadi kesalahan silahkan coba lagi padahal jaringan saya sangat bagus namun aplikasi my bca tidak ada respon tolong segera perbaiki karna ini membuang pulsa yang tidak sedikit,1,2,262,38,1,Negatif,0
my bca ribet,1,0,12,3,1,Negatif,0
mau scan qris katanya qr tidak sesuai,1,0,37,7,1,Netral,1
langgeng terus,5,0,14,2,1,Positif,2
aplikasi bdohh mau bikin akun sulit bangetttt,1,0,45,7,1,Negatif,0
ok,4,0,2,1,1,Negatif,0
bintang dulu sampai apk ny membaik logout mulu baru login lgsg logout d suruh login kembali,1,0,91,16,1,Netral,1
ampas dikit dikit blokir giliran mau diurus buat buka blokir pulsa mulu hama banget nih apk,1,0,91,16,1,Negatif,0
ini kenapa ya saya ga bisa menerima otp padahal nomor nya benar mohon di perbaiki,3,0,81,15,1,Negatif,0
sangat disayangkan sudah lama saya pengguna mybca utk transaksi usaha dll knp akhir ini sering susah login selalu ops terjadi kesalahan silahkan coba ulang ini salah nya di mna saya login pake biometrik dan login password sdh benar saya tanya ke halo bca katanya ga ada masalah di bca nya nah trus knp login halo bca bisa ke my bca ga bisa ini sgt merugikan saya sebagai nasabah yg sgt bergantung dgn transaksi digital yg selalu terganggu seperti ini,1,1,450,79,1,Negatif,0
thks apk mybca telah membantu dalam semua kegitan transaksi,5,0,59,9,1,Positif,2
developer saya ikut apa maunya developer,5,0,40,6,1,Positif,2
maaf kasih bintang dulu saya udah punya id bca malah pas masuk di arahinnya daftar adehh sudah di uninstall terus instal lagi malah sama,1,0,136,24,1,Negatif,0
multifungsi,5,0,11,1,1,Positif,2
sangat membantu mudah digunakan,5,0,31,4,1,Positif,2
kurang kurangi update nyaa yaa keseringan update bikin ngelag ngelag,3,0,68,10,1,Negatif,0
saya sangat sedikit kecewa dengan pelayanan costumer service nya karena saya bekerja sebagai petani dan ingin membuat rekening baru malah di lempar ke bagian pegawai sales nya dan bukan dilayani sama petugas costumer service seperti perbedaan kasta saja walau pendapatan saya tidak prioritas serta dalam pelayanan tersebut seolah ada paksaan disuruh beli pulsa ke pegawai dan harus masukan kode ajakan dari sales pegawai bca tersebut semoga kedepannya harap ada perubahan dan perbaikan kedepannya,2,0,496,73,1,Negatif,0
app gak guna buang anggaran negara aja,1,0,38,7,1,Negatif,0
kanapa minta di update terus cie aplikasi ini samapai gk bisa bangking saya kenak blokir,1,0,88,15,1,Negatif,0
saldo ga ada,1,0,12,3,1,Positif,2
saya bangga banget apk nya bagus,5,0,32,6,1,Positif,2
udah di download tapi knpa tidak bisa di pakai aplikasi nya kasih saran ny dong,1,0,79,15,1,Negatif,0
setiap di update saat login dengan sidik jari selalu error tidak bisa tolong di perbaiki ponsel saya poco x pro android,1,0,119,21,1,Netral,1
ingin buka rekening ajahh ribet banget udh gitu di tolak,1,0,56,10,1,Negatif,0
oke sih cuma agak ragu,4,0,22,5,1,Negatif,0
tolong ditingkatkan untuk kelancaran app nya kadang suka masalah kadang sembuh internet wifi lancar tapi terkadang masih suka ada opps ada kesalahan walau tidak seterusnya,5,40,171,25,1,Negatif,0
mau nanya kok mau masuk akun my bca gak bisa ya terus disuruh masukan nomor tapi kode nomor negara indonesia tidak ditemukan tolong dong ini appnya lagi eror atau gimana,3,0,169,30,1,Negatif,0
aplikasi sangat jelek bentar keblokir gk jelas,1,0,46,7,1,Negatif,0
sekarang buka aplikasi pakai wi fi tidak bisa,3,0,45,8,1,Netral,1
bagus,5,0,5,1,1,Positif,2
hama,1,0,4,1,1,Positif,2
nice apk,5,0,8,2,1,Positif,2
sering eror tolong di perbaiki dlu server nya lama banget loading nya padahal internet aman aja tapi sering lama klo login,1,0,122,21,1,Negatif,0
bagus banget,4,0,12,2,1,Positif,2
di suruh update kok terus terusan jelek bgt di update pun gaada perubahan pada ikon ikon nya jadi sebenarnya ngupdate apa,1,0,121,21,1,Negatif,0
sering banget loading terlalu lama transaksi sering gagal,1,0,57,8,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
slalu terbatu,5,0,13,2,1,Netral,1
okeee,5,0,5,1,1,Positif,2
habis di upgrade malah ga kena buat transaksi,1,1,45,8,1,Negatif,0
good,5,0,4,1,1,Positif,2
sangat bagus tinggal dioptimalkan aja,5,0,37,5,1,Positif,2
anjinkkkkkkk nih aplikasi kontolllll,1,1,36,4,1,Positif,2
mantap jdi mudah transaksi,5,0,26,4,1,Positif,2
the best,5,0,8,2,1,Positif,2
maaf ini aplikasi sampah lemot susah vermuk vidcall juga susah gini amat hidup di negara apa apa susah,1,0,102,18,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
ini knapa ya tidak bisa dibuka opppss terjadi kesalahan silahkan coba lagi kaya gtu terus min knapa ya mohon diperbaiki secepatnya trimakasih ini knapa lagi ya,3,0,159,26,1,Negatif,0
mantap semogah bisa dapat play leter,5,0,36,6,1,Positif,2
saya ngga login ngga prnh salah pasword tp hari ini rabo tgl pas mau login buka mbanking lngsung dpt keterangan lngsung bhwa mbanking ke blokir,5,0,143,25,1,Netral,1
transfer va selalu gagal payah sekali aplikasi ini sekarang kecewa jadinya harus ke atm terdekat aplikasi tidak membantu parah parah parah,1,0,138,21,1,Negatif,0
mau bikin rekening baru via app tinggal konfirmasi tahap akhir tapi gagal terus coba lagi coba lagi terus padahal pulsa ada internet aman bikin kesel doang,1,0,155,26,1,Negatif,0
ok,5,0,2,1,1,Negatif,0
sangat tidak nyaman untuk digunakan sebagai transaksi digital,1,0,61,8,1,Negatif,0
gara sinyal id di blokir dibuka blokir ganti password minta otp otp ga masuk tapi malak pulsa hampir rb malah kena limit verifikasi bintang huruf t,1,0,147,26,1,Negatif,0
tiba terblokir parah,1,0,20,3,1,Negatif,0
bagus,5,0,5,1,1,Positif,2
terima kasih bca aplikasi mudah di gunakan,5,0,42,7,1,Positif,2
good,5,0,4,1,1,Positif,2
proses registrasi dan login benar menguji kesabaran okelah step nya bnyak buat keamanan tp loadingnya lama bnget,1,0,112,17,1,Negatif,0
bagus bisa membantu orang yg lagi butuh,5,0,39,7,1,Positif,2
sudah mendatangi kantor bca terdekat terkait trouble mybca di tgl september dan sampai sekarang masih belum bisa diakses atau di gunakan sudah di bantu cs katanya menunggu otp masuk ke sms sampai cs menyatakan nanti di coba lagi di rumah kemungkinan saat ini ada masalah tgl kirim pemberitahuan sudah paketan okey no hp pascabayar sampai sekarang terus an nunggu otp tidak datang juga padahal setiap kali klik minta otp kirim ulang ada biayanya piye iki admin,3,0,459,76,1,Negatif,0
alhamdulillah,5,0,13,1,1,Positif,2
aplikasi yg mudah di gunakan tdk gampang error,5,0,46,8,1,Positif,2
verif wajah selalu kesalahan mau mybca atau pun bca mobile,1,0,58,10,1,Negatif,0
tetap pertahankan dan tingkatkan performa aplikasi yang ada,5,0,59,8,1,Netral,1
perlu perbaikan untuk fitur transfer susah banget sampai mengulang hingga kali baru berhasil terutama untuk masukkan rekenging baru,1,0,131,18,1,Negatif,0
akunku ga bisa login padahal id dan pasword benar internet juga oke,3,0,67,12,1,Netral,1
masih aja notif use real device padahal pake hape bukan lewat emulator android,1,0,78,13,1,Negatif,0
mf yaa kenapa susah bngt mau buka apl my bca nya hrus klik berkli kli baru bisa kbuka terus untk isi saldo iwalet susah terimakasih,1,0,131,25,1,Negatif,0
